name,description,implementation status,effect_level,version
AASTriangle,,,,10
AbelianGroup,,,,8
Abort,Aborts evaluation,✅,effectful,2
AbortKernels,,,,7
AbortProtect,,,,2
Above,,,,1
Abs,Returns the absolute value of a number,✅,pure,1
AbsArg,,,,10.1
AbsArgPlot,,,,12
AbsoluteCorrelation,,,,9
AbsoluteCorrelationFunction,,,,9
AbsoluteCurrentValue,,,,6
AbsoluteDashing,,,,2
AbsoluteFileName,,,,7
AbsoluteOptions,,,,4
AbsolutePointSize,,,,2
AbsoluteThickness,Sets absolute line thickness in graphics,✅,pure,2
AbsoluteTime,Total seconds since January 1 1900,✅,contextual,2
AbsoluteTiming,Returns the time taken to evaluate an expression,✅,contextual,5
AcceptanceThreshold,,,,12
AccountingForm,,,,2
Accumulate,Returns cumulative sums of a list,✅,pure,6
Accuracy,Returns the number of accurate decimal digits,✅,pure,1
AccuracyGoal,,,,1
AcousticAbsorbingValue,,,,12.2
AcousticImpedanceValue,,,,12.2
AcousticNormalVelocityValue,,,,12.2
AcousticPDEComponent,,,,12.2
AcousticPressureCondition,,,,12.2
AcousticRadiationValue,,,,12.2
AcousticSoundHardValue,,,,12.2
AcousticSoundSoftCondition,,,,12.2
ActionMenu,,,,6
Activate,,,,10
ActivateResult,,,,14
ActiveClassification,,,,11.1
ActiveClassificationObject,,,,11.1
ActivePrediction,,,,11.1
ActivePredictionObject,,,,11.1
ActiveStyle,,,,7
AcyclicGraphQ,,,,8
AddSides,,,,11.3
AddTo,,,,1
AddToSearchIndex,,,,12
AddToVectorDatabase,,,,14.1
AddUsers,,,,10
AdjacencyGraph,,,,8
AdjacencyList,,,,9
AdjacencyMatrix,,,,8
AdjacentMeshCells,,,,12.1
Adjugate,,,,13
AdjustmentBox,,,,3
AdjustmentBoxOptions,,,,4
AdjustTimeSeriesForecast,,,,9
AdministrativeDivisionData,,,,10
AffineHalfSpace,,,,10.2
AffineSpace,,,,10.2
AffineStateSpaceModel,,,,10
AffineTransform,,,,6
After,,,,3
AggregatedEntityClass,,,,12
AggregationLayer,,,,11.1
AircraftData,,,,10
AirportData,,,,10
AirPressureData,,,,10
AirSoundAttenuation,,,,12.2
AirTemperatureData,,,,10
AiryAi,,,,1
AiryAiPrime,,,,2
AiryAiZero,,,,6
AiryBi,,,,2
AiryBiPrime,,,,2
AiryBiZero,,,,6
AlgebraicIntegerQ,,,,6
AlgebraicNumber,,,,6
AlgebraicNumberDenominator,,,,6
AlgebraicNumberNorm,,,,6
AlgebraicNumberPolynomial,,,,6
AlgebraicNumberTrace,,,,6
Algebraics,,,,4
AlgebraicUnitQ,,,,6
Alignment,,,,6
AlignmentPoint,,,,6
All,,,,1
AllMatch,,,,14.1
AllowedCloudExtraParameters,,,,11.1
AllowedCloudParameterExtensions,,,,11.1
AllowedDimensions,,,,9
AllowedFrequencyRange,,,,12
AllowedHeads,,,,12
AllowGroupClose,,,,8
AllowInlineCells,,,,4
AllowLooseGrammar,,,,10.1
AllowReverseGroupClose,,,,8
AllowVersionUpdate,,,,12.1
AllSameBy,,,,14.1
AllTrue,Checks if all elements in a list are true,✅,pure,10
Alphabet,Returns the list of lowercase English letters,✅,pure,10.1
AlphabeticOrder,,,,10.3
AlphabeticSort,Sorts strings in case-insensitive alphabetical order,✅,pure,10.3
AlphaChannel,,,,8
AlternatingFactorial,,,,10
AlternatingGroup,,,,8
AlternativeHypothesis,,,,8
Alternatives,,,,2
AltitudeMethod,,,,10
AmbientLight,,,,13
AmbiguityFunction,,,,10
AmbiguityList,,,,10
AnatomyData,,,,10.3
AnatomyPlot3D,,,,11
AnatomySkinStyle,,,,12
AnatomyStyling,,,,12
AnchoredSearch,,,,2
And,Checks if all conditions are true,✅,pure,1
AndersonDarlingTest,,,,8
AngerJ,,,,7
AngleBisector,,,,12
AngleBracket,,,,3
AnglePath,Generate 2D points by successively turning and stepping,✅,pure,10.1
AnglePath3D,,,,11.1
AngleVector,,,,10.1
AngularGauge,,,,9
Animate,,,,6
AnimatedImage,,,,12.2
AnimationDirection,,,,3
AnimationRate,,,,6
AnimationRepetitions,,,,6
AnimationRunning,,,,6
AnimationRunTime,,,,10
AnimationTimeIndex,,,,10
AnimationVideo,,,,12.3
Animator,,,,6
Annotate,,,,12.1
Annotation,,,,6
AnnotationDelete,,,,12
AnnotationKeys,,,,12.1
AnnotationRules,,,,12
AnnotationValue,,,,12.1
Annuity,,,,8
AnnuityDue,,,,8
Annulus,,,,10.2
AnomalyDetection,,,,12
AnomalyDetector,,,,12.1
AnomalyDetectorFunction,,,,12
Anonymous,,,,11
Antialiasing,,,,6
Antihermitian,,,,12.2
AntihermitianMatrixQ,,,,10
Antisymmetric,,,,9
AntisymmetricMatrixQ,,,,10
Antonyms,,,,12
AnyMatch,,,,14.1
AnyOrder,,,,10.1
AnySubset,,,,10.1
AnyTrue,Checks if any element in a list is true,✅,pure,10
Apart,Decomposes a rational expression into partial fractions,✅,pure,1
ApartSquareFree,,,,6
APIFunction,,,,10
Appearance,,,,6
AppearanceElements,,,,6
AppearanceRules,,,,10
AppellF1,,,,4
AppellF2,,,,13.3
AppellF3,,,,13.3
AppellF4,,,,13.3
Append,Adds an element to the end of a list,✅,pure,1
AppendLayer,,,,11.3
AppendTo,Appends an element to a list stored in a variable,✅,stateful,1
Application,,,,12.2
Apply,Applies a function to list elements as arguments,✅,pure,1
ApplyReaction,,,,13.1
ApplySides,,,,11.3
ApplyTo,,,,12.2
ArcCos,Returns the arc cosine of a number,✅,pure,1
ArcCosDegrees,,,,14.1
ArcCosh,Returns the inverse hyperbolic cosine,✅,pure,1
ArcCot,Returns the arc cotangent,✅,pure,1
ArcCotDegrees,,,,14.1
ArcCoth,Returns the inverse hyperbolic cotangent,✅,pure,1
ArcCsc,Returns the arc cosecant,✅,pure,1
ArcCscDegrees,,,,14.1
ArcCsch,Returns the inverse hyperbolic cosecant,✅,pure,1
ArcCurvature,,,,10
ARCHProcess,,,,10
ArcLength,,,,10
ArcSec,Returns the arc secant,✅,pure,1
